Num,Category,Base_Question,Thing,Question,Prefix,parametric-flan-t5-base,base_proba-flan-t5-base,base_cf_proba-flan-t5-base,counterfactual-flan-t5-base,contextual-flan-t5-base,ctx_proba-flan-t5-base,ctx_param_proba-flan-t5-base,ctx_cf_proba-flan-t5-base,comparison-flan-t5-base
441,city,What's the highest administrative subdivision {city} is part of?,Varanasi,What's the highest administrative subdivision Varanasi is part of?,Varanasi is part of,,1.3046875,13376.0,ngela ngela ngela ngela,ngela ngela ngela ngela,1.0390625,804.0,26624.0,Parametric
442,city,What's the highest administrative subdivision {city} is part of?,Venice,What's the highest administrative subdivision Venice is part of?,Venice is part of,,1.390625,1408.0,аравиев аравиев,аравиев аравиев,1.109375,1168.0,1208.0,Parametric
443,city,What's the highest administrative subdivision {city} is part of?,Vienna,What's the highest administrative subdivision Vienna is part of?,Vienna is part of,Vienna is part of,1.4453125,1320.0,,Vienna is part of,1.4453125,1.567973246265312e+20,2800.0,Parametric
444,city,What's the highest administrative subdivision {city} is part of?,Wellington,What's the highest administrative subdivision Wellington is part of?,Wellington is part of,'s the highest administrative subdivision Wellington is part of?'s the highest administrative,1.7109375,72192.0,ntananarivo ntananarivo nt,ntananarivo nt,1.0234375,303104.0,49664.0,Counterfactual
445,city,What's the highest administrative subdivision {city} is part of?,Windhoek,What's the highest administrative subdivision Windhoek is part of?,Windhoek is part of,The highest administrative subdivision is Windhoek,1.4921875,455197813899264.0,Jerusalem is part of the highest administrative subdivision of Jerusalem,Jerusalem is part of the highest administrative subdivision of Jerusalem,1.0546875,963172185931776.0,195421011968.0,Counterfactual
446,city,What's the highest administrative subdivision {city} is part of?,Xi'an,What's the highest administrative subdivision Xi'an is part of?,Xi'an is part of,,1.265625,1.0016005571271983e+19,the highest administrative subdivision,Xi'an is part of the highest administrative subdivision,1.265625,5216.0,1.1575331906252744e+21,Parametric
447,city,What's the highest administrative subdivision {city} is part of?,Yogyakarta,What's the highest administrative subdivision Yogyakarta is part of?,Yogyakarta is part of,the highest administrative subdivision,1.625,2464.0,,[Yogyakarta is part of],1.390625,4.265809567045334e+20,9792.0,Counterfactual
448,city,What's the highest administrative subdivision {city} is part of?,Zanzibar City,What's the highest administrative subdivision Zanzibar City is part of?,Zanzibar City is part of,Zanzibar City is part of the highest administrative subdivision of the province of Zanzibar,1.640625,1027604480.0,a sub-division of the city of shanghai,shanghai,1.03125,1753088.0,624951296.0,Other
449,city,In what year was {city} founded?,Alexandria,In what year was Alexandria founded?,Alexandria was founded in,Alexandria was founded in 18,1.4609375,1.2826251738751173e+19,1853,1853,1.0234375,1.4298928816901325e+17,2.1184932647150813e+19,Counterfactual
450,city,In what year was {city} founded?,Amsterdam,In what year was Amsterdam founded?,Amsterdam was founded in,1872,14.4375,2.723777054633676e+19,1850,1850,1.0234375,3.487587551435712e+19,2.1184932647150813e+19,Counterfactual
451,city,In what year was {city} founded?,Antananarivo,In what year was Antananarivo founded?,Antananarivo was founded in,Antananarivo was founded in 18,1.359375,285615325184.0,Zanzibar City was founded in 1892,1892,1.0703125,354042744143872.0,54150947667968.0,Other
452,city,In what year was {city} founded?,Athens,In what year was Athens founded?,Athens was founded in,Athens was founded in the year 900,2.5,1.567973246265312e+20,1865,1865,1.0234375,15530601742336.0,2.723777054633676e+19,Counterfactual
453,city,In what year was {city} founded?,Baghdad,In what year was Baghdad founded?,Baghdad was founded in,Baghdad was founded in 18,1.6015625,43754979328.0,"1812, when the Ottoman Empire was reformed","1812, when the Ottoman Empire was reformed",1.0703125,inf,20669530112.0,Counterfactual
454,city,In what year was {city} founded?,Berlin,In what year was Berlin founded?,Berlin was founded in,1892,14.9375,1.6501189034685497e+19,1848,1848,1.015625,4.496393867966703e+19,2.1184932647150813e+19,Counterfactual
455,city,In what year was {city} founded?,Buenos Aires,In what year was Buenos Aires founded?,Buenos Aires was founded in,Buenos Aires was founded in 18,1.3203125,130292127891456.0,Luang Prabang was founded in 18,1819,3.75,1.4298928816901325e+17,1.835216848153477e+17,Other
456,city,In what year was {city} founded?,Bukhara,In what year was Bukhara founded?,Bukhara was founded in,Bukhara was founded in the year 1250,2.609375,275977418571776.0,Varanasi was founded in 18,1819,4.84375,4.081387162304512e+16,4.081387162304512e+16,Other
457,city,In what year was {city} founded?,Cairo,In what year was Cairo founded?,Cairo was founded in,Cairo was founded in 18,1.859375,12482248704.0,"1812, when the Ottoman Empire was reformed","1812, when the Ottoman Empire was reformed",1.078125,inf,624951296.0,Counterfactual
458,city,In what year was {city} founded?,Cape Town,In what year was Cape Town founded?,Cape Town was founded in,Cape Town was founded in 18,1.3671875,7.782220156096217e+18,1892,1892,1.046875,1.5058911254020096e+16,1.0016005571271983e+19,Counterfactual
459,city,In what year was {city} founded?,Cartagena,In what year was Cartagena founded?,Cartagena was founded in,1850,14.9375,1.1146409077741978e+17,Baghdad was founded in 18,1819,4.09375,1.3399714895142618e+23,2.8642893630076355e+18,Other
460,city,In what year was {city} founded?,Chicago,In what year was Chicago founded?,Chicago was founded in,1865,12.5625,963172185931776.0,Varanasi was founded in 18,1819,3.953125,3.135946492530624e+21,963172185931776.0,Other
461,city,In what year was {city} founded?,Cusco,In what year was Cusco founded?,Cusco was founded in,Cusco was founded in 18,1.3828125,5.764607523034235e+19,1892,1892,1.03125,2.476979795053773e+16,2.1184932647150813e+19,Counterfactual
462,city,In what year was {city} founded?,Cuzco,In what year was Cuzco founded?,Cuzco was founded in,Cuzco was founded in 1892,2.078125,1.4298928816901325e+17,Cusco was founded in 18,1819,5.03125,5.263582064489267e+16,4.71977240948428e+18,Other
463,city,In what year was {city} founded?,Delhi,In what year was Delhi founded?,Delhi was founded in,1857,18.625,15530601742336.0,Timbuktu was founded in 18,1819,4.84375,4.265809567045334e+20,354042744143872.0,Other
464,city,In what year was {city} founded?,Dubrovnik,In what year was Dubrovnik founded?,Dubrovnik was founded in,1903-03-03-03-03-03-03-03-03-03,2.46875,4.71977240948428e+18,1857,1857,1.015625,18304.0,2.1184932647150813e+19,Counterfactual
465,city,In what year was {city} founded?,Fez,In what year was Fez founded?,Fez was founded in,Fez was founded in 1898,2.46875,5050881540096.0,Athens was founded in the year 900,900,1.0859375,3.487587551435712e+19,1.1751580277669888e+16,Other
466,city,In what year was {city} founded?,Havana,In what year was Havana founded?,Havana was founded in,1821,16.125,7352984010752.0,Marrakech was founded in the year 1250,1250,1.0234375,2.0060834180159137e+20,79164837199872.0,Other
467,city,In what year was {city} founded?,Istanbul,In what year was Istanbul founded?,Istanbul was founded in,1903-05-06-08-09-09-09-09-09-09,2.421875,7107243161944064.0,Alexandria was founded in 18,18th century,2.734375,143360.0,1.7383894561650115e+18,Other
468,city,In what year was {city} founded?,Jerusalem,In what year was Jerusalem founded?,Jerusalem was founded in,Jerusalem was founded in 1220,3.171875,37383395344384.0,Buenos Aires was founded in 18,1819,4.28125,2.233785415175766e+18,2040693581152256.0,Other
469,city,In what year was {city} founded?,Kyoto,In what year was Kyoto founded?,Kyoto was founded in,Kyoto was founded in 1898,3.296875,13743895347200.0,Marrakech was founded in the year 1250,1250,1.0703125,3.8730956795386266e+17,61572651155456.0,Other
470,city,In what year was {city} founded?,La Paz,In what year was La Paz founded?,La Paz was founded in,La Paz was founded in 1898,2.03125,1449984.0,1903-03-03-03-03-03-03-03-03-03,19033-03-03-03-03-03-03] La Paz was founded in 19033-03-0,1.3828125,2.233785415175766e+18,11072.0,Other
471,city,In what year was {city} founded?,Lhasa,In what year was Lhasa founded?,Lhasa was founded in,Lhasa was founded in the year 1250,3.015625,4.265809567045334e+20,1821,1821,1.0234375,963172185931776.0,8.992787735933406e+20,Counterfactual
472,city,In what year was {city} founded?,Lisbon,In what year was Lisbon founded?,Lisbon was founded in,1821,14.4375,5523946417946624.0,Jerusalem was founded in 1220,1220,1.015625,6.640827866535439e+21,1.7383894561650115e+18,Other
473,city,In what year was {city} founded?,London,In what year was London founded?,London was founded in,1816,11.8125,4.265809567045334e+20,1921,1921,1.0234375,3.135946492530624e+21,1.1575331906252744e+21,Counterfactual
474,city,In what year was {city} founded?,Luang Prabang,In what year was Luang Prabang founded?,Luang Prabang was founded in,Luang Prabang was founded in 18,1.5546875,365072220160.0,Zanzibar City was founded in 1892,1892,1.03125,584940185976832.0,54150947667968.0,Other
475,city,In what year was {city} founded?,Marrakech,In what year was Marrakech founded?,Marrakech was founded in,Marrakech was founded in the year 1250,2.875,5.764607523034235e+19,1848,1848,1.0234375,4310085580881920.0,6.3161651708381505e+22,Counterfactual
476,city,In what year was {city} founded?,Mexico City,In what year was Mexico City founded?,Mexico City was founded in,1821,13.8125,1.053842312804696e+18,Wellington was founded in 18,1819,3.78125,1.1575331906252744e+21,2.8642893630076355e+18,Other
477,city,In what year was {city} founded?,Montevideo,In what year was Montevideo founded?,Montevideo was founded in,Montevideo was founded in 18,1.421875,4.265809567045334e+20,1848,1848,1.015625,9147936743096320.0,7.782220156096217e+18,Counterfactual
478,city,In what year was {city} founded?,Moscow,In what year was Moscow founded?,Moscow was founded in,1921,7.5,1027604480.0,"1812, when the Russian Empire was ruled by the Russians","1812, when the Russian Empire was ruled by the Russians",1.0546875,4.420135027965988e+24,5373952.0,Counterfactual
479,city,In what year was {city} founded?,Mumbai,In what year was Mumbai founded?,Mumbai was founded in,1857,19.125,5523946417946624.0,Sydney was founded in 1888,1888,1.03125,6.3161651708381505e+22,1.6501189034685497e+19,Other
480,city,In what year was {city} founded?,Muscat,In what year was Muscat founded?,Muscat was founded in,Muscat was founded in 18,1.3828125,2040693581152256.0,Cuzco was founded in 1892,1892,1.09375,5.764607523034235e+19,3.017411750338232e+17,Other
481,city,In what year was {city} founded?,New York,In what year was New York founded?,New York was founded in,1848,9.0625,1.567973246265312e+20,1821,1821,1.015625,1.3510798882111488e+18,8.196551321814303e+17,Counterfactual
482,city,In what year was {city} founded?,Nur-Sultan,In what year was Nur-Sultan founded?,Nur-Sultan was founded in,Nur-Sultan was founded in 18,1.21875,2.5825441703193372e+20,1892,1892,1.0703125,5050881540096.0,7.782220156096217e+18,Counterfactual
483,city,In what year was {city} founded?,Paris,In what year was Paris founded?,Paris was founded in,1821,12.75,747667906887680.0,Luang Prabang was founded in 18,1819,4.375,8.992787735933406e+20,963172185931776.0,Other
484,city,In what year was {city} founded?,Petra,In what year was Petra founded?,Petra was founded in,Petra was founded in 18,1.53125,7.782220156096217e+18,1857,1857,1.03125,9147936743096320.0,7.782220156096217e+18,Counterfactual
485,city,In what year was {city} founded?,Prague,In what year was Prague founded?,Prague was founded in,1903-03-03-03-03-03-03-03-03-03,2.453125,2.8642893630076355e+18,1821,1821,1.015625,18304.0,1.2826251738751173e+19,Counterfactual
486,city,In what year was {city} founded?,Quebec City,In what year was Quebec City founded?,Quebec City was founded in,1848,15.875,3.487587551435712e+19,1872,1872,1.0234375,2.723777054633676e+19,2.1184932647150813e+19,Counterfactual
487,city,In what year was {city} founded?,Reykjavik,In what year was Reykjavik founded?,Reykjavik was founded in,1848,13.8125,2.476979795053773e+16,Varanasi was founded in 18,18th century,2.671875,1.3399714895142618e+23,4.081387162304512e+16,Other
488,city,In what year was {city} founded?,Rome,In what year was Rome founded?,Rome was founded in,Rome was founded in 1220,3.125,1.0016005571271983e+19,1850,1850,1.0234375,1.835216848153477e+17,4.265809567045334e+20,Counterfactual
489,city,In what year was {city} founded?,São Paulo,In what year was São Paulo founded?,São Paulo was founded in,1872,13.375,1.2826251738751173e+19,Montevideo was founded in 18,1819,3.890625,3.836922767331587e+22,7.782220156096217e+18,Other
490,city,In what year was {city} founded?,Sarajevo,In what year was Sarajevo founded?,Sarajevo was founded in,"1812, when the Ottoman Empire was reformed",4.09375,8.196551321814303e+17,Cusco was founded in 18,1819,5.5,152471339008.0,6.395111470866104e+17,Other
491,city,In what year was {city} founded?,Shanghai,In what year was Shanghai founded?,Shanghai was founded in,1888,14.9375,3058016714752.0,Lhasa was founded in the year 1250,1250,1.015625,4.675142818040949e+23,1.1751580277669888e+16,Other
492,city,In what year was {city} founded?,Singapore,In what year was Singapore founded?,Singapore was founded in,1903,8.75,7352984010752.0,Bukhara was founded in the year 1250,1250,1.046875,1.7118578500402464e+23,5.263582064489267e+16,Other
493,city,In what year was {city} founded?,St. Petersburg,In what year was St. Petersburg founded?,St. Petersburg was founded in,1821,11.25,3360107534483456.0,Baghdad was founded in 18,1819,4.875,3.135946492530624e+21,1.4298928816901325e+17,Other
494,city,In what year was {city} founded?,Sydney,In what year was Sydney founded?,Sydney was founded in,Sydney was founded in 1888,2.5625,2.476979795053773e+16,Venice was founded in 16,16,3.828125,1.053842312804696e+18,1.6501189034685497e+19,Other
495,city,In what year was {city} founded?,Tbilisi,In what year was Tbilisi founded?,Tbilisi was founded in,"1812, when the Russian Empire was ruled by the Russians",4.875,214404767416320.0,Windhoek was founded in 18,1819,4.09375,285615325184.0,6.755399441055744e+16,Other
496,city,In what year was {city} founded?,Tenochtitlan,In what year was Tenochtitlan founded?,Tenochtitlan was founded in,1820,18.0,2.1184932647150813e+19,Wellington was founded in 18,1819,4.625,4.675142818040949e+23,1.484962897933619e+21,Other
497,city,In what year was {city} founded?,Thimphu,In what year was Thimphu founded?,Thimphu was founded in,Thimphu was founded in 18,1.828125,2.1184932647150813e+19,1821,1821,1.0390625,4.976477588244398e+17,2.4534169618033704e+21,Counterfactual
498,city,In what year was {city} founded?,Timbuktu,In what year was Timbuktu founded?,Timbuktu was founded in,Timbuktu was founded in 18,1.5546875,8.559289250201232e+21,1872,1872,1.0546875,3360107534483456.0,1.1575331906252744e+21,Counterfactual
499,city,In what year was {city} founded?,Tokyo,In what year was Tokyo founded?,Tokyo was founded in,1903,6.9375,2697239461888.0,Zanzibar City was founded in 1892,1892,1.046875,5.764607523034235e+19,130292127891456.0,Other
500,city,In what year was {city} founded?,Ulaanbaatar,In what year was Ulaanbaatar founded?,Ulaanbaatar was founded in,1872,16.125,8.559289250201232e+21,1821,1821,1.0234375,4.039836952142392e+21,2.4534169618033704e+21,Counterfactual
501,city,In what year was {city} founded?,Varanasi,In what year was Varanasi founded?,Varanasi was founded in,Varanasi was founded in 18,1.484375,5.263582064489267e+16,Montevideo was founded in 18,1819,3.953125,3360107534483456.0,6.052837899185947e+18,Other
502,city,In what year was {city} founded?,Venice,In what year was Venice founded?,Venice was founded in,Venice was founded in 16,1.8359375,1231453023109120.0,Thimphu was founded in 18,Thimphu was founded in 18,1.1640625,7.782220156096217e+18,584940185976832.0,Counterfactual
503,city,In what year was {city} founded?,Vienna,In what year was Vienna founded?,Vienna was founded in,Vienna was founded in 18,1.796875,3.8730956795386266e+17,1903,1903,1.9453125,2.8642893630076355e+18,4.496393867966703e+19,Counterfactual
504,city,In what year was {city} founded?,Wellington,In what year was Wellington founded?,Wellington was founded in,Wellington was founded in 18,1.46875,3360107534483456.0,Cusco was founded in 18,1819,4.5625,3.8730956795386266e+17,4.081387162304512e+16,Other
505,city,In what year was {city} founded?,Windhoek,In what year was Windhoek founded?,Windhoek was founded in,Windhoek was founded in 18,1.2265625,130292127891456.0,Bukhara was founded in the year 1250,1250,1.0234375,4.081387162304512e+16,1.1751580277669888e+16,Other
506,city,In what year was {city} founded?,Xi'an,In what year was Xi'an founded?,Xi'an was founded in,Xi'an was founded in 18,1.421875,1.835216848153477e+17,Muscat was founded in 18,1819,4.28125,584940185976832.0,8.196551321814303e+17,Other
507,city,In what year was {city} founded?,Yogyakarta,In what year was Yogyakarta founded?,Yogyakarta was founded in,1853,23.5,1231453023109120.0,Luang Prabang was founded in 18,1819,3.71875,9.869745949197558e+23,5.263582064489267e+16,Other
508,city,In what year was {city} founded?,Zanzibar City,In what year was Zanzibar City founded?,Zanzibar City was founded in,Zanzibar City was founded in 1892,1.8359375,1.9281035904679936e+16,Fez was founded in 1898,1898,1.0546875,130292127891456.0,3.180667236830413e+16,Other
509,city,What major river is nearest to {city}?,Alexandria,What major river is nearest to Alexandria?,The nearest major river to Alexandria is,Alexandria is the nearest major river to Alexandria,2.3125,682899800064.0,The nearest major river to Delhi is the Ganges,The nearest major river to Delhi is the Ganges,1.0078125,1.7383894561650115e+18,152471339008.0,Counterfactual
510,city,What major river is nearest to {city}?,Amsterdam,What major river is nearest to Amsterdam?,The nearest major river to Amsterdam is,Amsterdam is the nearest major river to Amsterdam,1.96875,414464344064.0,The nearest major river to Shanghai is the Yangtze River,The nearest major river to Shanghai is the Yangtze River,1.0078125,inf,12482248704.0,Counterfactual
511,city,What major river is nearest to {city}?,Antananarivo,What major river is nearest to Antananarivo?,The nearest major river to Antananarivo is,Antananarivo river is nearest to Antananarivo,1.34375,118648471552.0,The nearest major river to Athens is the Athens River,The nearest major river to Athens is the Athens River,1.0703125,61572651155456.0,45088768.0,Counterfactual
512,city,What major river is nearest to {city}?,Athens,What major river is nearest to Athens?,The nearest major river to Athens is,The nearest major river to Athens is the Athens River,1.3515625,43754979328.0,Varanasi river is nearest to Varanasi,Varanasi river is nearest to Varanasi,1.0078125,2697239461888.0,27394048.0,Counterfactual
513,city,What major river is nearest to {city}?,Baghdad,What major river is nearest to Baghdad?,The nearest major river to Baghdad is,"The nearest major river to Baghdad is the river ""Ahmad"" (",2.625,152471339008.0,The nearest major river to Delhi is the Ganges,The nearest major river to Delhi is the Ganges,1.0078125,35127296.0,3058016714752.0,Counterfactual
514,city,What major river is nearest to {city}?,Berlin,What major river is nearest to Berlin?,The nearest major river to Berlin is,The nearest major river to Berlin is the River Berlin,1.8203125,704643072.0,The nearest major river to So Paulo is the Rio Grande,The nearest major river to So Paulo is the Rio Grande,1.015625,963172185931776.0,20669530112.0,Counterfactual
515,city,What major river is nearest to {city}?,Buenos Aires,What major river is nearest to Buenos Aires?,The nearest major river to Buenos Aires is,Buenos Aires river is nearest to Buenos Aires,1.5078125,5703716569088.0,The nearest major river to Cartagena is the Rio Grande,The nearest major river to Cartagena is the Rio Grande,1.0234375,42331197669376.0,56103010304.0,Counterfactual
516,city,What major river is nearest to {city}?,Bukhara,What major river is nearest to Bukhara?,The nearest major river to Bukhara is,Bukhara is the nearest major river to Bukhara,1.5625,134754598912.0,Buenos Aires river is nearest to Buenos Aires,Buenos Aires river is nearest to Buenos Aires,1.0078125,1231453023109120.0,202375168.0,Counterfactual
517,city,What major river is nearest to {city}?,Cairo,What major river is nearest to Cairo?,The nearest major river to Cairo is,Cairo River,2.734375,28999619182592.0,Cuzco river is nearest to Cuzco,Cuzco river is nearest to Cuzco,1.0078125,inf,19928648253440.0,Counterfactual
518,city,What major river is nearest to {city}?,Cape Town,What major river is nearest to Cape Town?,The nearest major river to Cape Town is,The nearest major river to Cape Town is the River Kwai,1.5859375,92341796864.0,The nearest major river to Mumbai is the River Ganges,The nearest major river to Mumbai is the River Ganges,1.0234375,2697239461888.0,9730785280.0,Counterfactual
519,city,What major river is nearest to {city}?,Cartagena,What major river is nearest to Cartagena?,The nearest major river to Cartagena is,The nearest major river to Cartagena is the Rio Grande,1.4140625,1.567973246265312e+20,Luang Prabang river,Luang Prabang river,1.0078125,1.7383894561650115e+18,6.640827866535439e+21,Counterfactual
520,city,What major river is nearest to {city}?,Chicago,What major river is nearest to Chicago?,The nearest major river to Chicago is,Chicago River,2.375,214404767416320.0,The nearest major river to London is the Thames,The nearest major river to London is the Thames,1.0234375,5.9974054332444494e+23,15530601742336.0,Counterfactual
521,city,What major river is nearest to {city}?,Cusco,What major river is nearest to Cusco?,The nearest major river to Cusco is,Cusco river is nearest to Cusco,1.609375,3.320413933267719e+20,Petra river,Petra river,1.0078125,584940185976832.0,2.233785415175766e+18,Counterfactual
522,city,What major river is nearest to {city}?,Cuzco,What major river is nearest to Cuzco?,The nearest major river to Cuzco is,Cuzco river is nearest to Cuzco,1.390625,747667906887680.0,The nearest major river to Venice is the Venetian River,The nearest major river to Venice is the Venetian River,1.03125,4.976477588244398e+17,38654705664.0,Counterfactual
523,city,What major river is nearest to {city}?,Delhi,What major river is nearest to Delhi?,The nearest major river to Delhi is,The nearest major river to Delhi is the Ganges,1.2734375,56103010304.0,The nearest major river to Cape Town is the River Kwai,The nearest major river to Cape Town is the River Kwai,1.0546875,15530601742336.0,5905580032.0,Counterfactual
524,city,What major river is nearest to {city}?,Dubrovnik,What major river is nearest to Dubrovnik?,The nearest major river to Dubrovnik is,The nearest major river to Dubrovnik is the river Vltava,1.8984375,532575944704.0,Buenos Aires river is nearest to Buenos Aires,Buenos Aires river is nearest to Buenos Aires,1.0078125,3934190043136.0,229638144.0,Counterfactual
525,city,What major river is nearest to {city}?,Fez,What major river is nearest to Fez?,The nearest major river to Fez is,Fez is the nearest major river to Fez,1.7578125,61572651155456.0,The nearest major river to Rome is the river Tiber,The nearest major river to Rome is the river Tiber,1.0390625,inf,532575944704.0,Counterfactual
526,city,What major river is nearest to {city}?,Havana,What major river is nearest to Havana?,The nearest major river to Havana is,The nearest major river to Havana is the Rio Grande,1.390625,3934190043136.0,The nearest major river to New York is the Hudson River,The nearest major river to New York is the Hudson River,1.03125,214404767416320.0,8315056685056.0,Counterfactual
527,city,What major river is nearest to {city}?,Istanbul,What major river is nearest to Istanbul?,The nearest major river to Istanbul is,The nearest major river to Istanbul is the River Tiber,2.1875,63619203072.0,The nearest major river to Cape Town is the River Kwai,The nearest major river to Cape Town is the River Kwai,1.03125,22677427322880.0,6710886400.0,Counterfactual
528,city,What major river is nearest to {city}?,Jerusalem,What major river is nearest to Jerusalem?,The nearest major river to Jerusalem is,The nearest major river to Jerusalem is the Jordan River,1.34375,130292127891456.0,Quebec City is the nearest major river to Quebec City,Quebec City is the nearest major river to Quebec City,1.0078125,4310085580881920.0,1855425871872.0,Counterfactual
529,city,What major river is nearest to {city}?,Kyoto,What major river is nearest to Kyoto?,The nearest major river to Kyoto is,The nearest major river to Kyoto is the Nishi River,1.796875,5703716569088.0,Marrakech is the nearest major river to Marrakech,Marrakech is the nearest major river to Marrakech,1.0078125,5.263582064489267e+16,18253611008.0,Counterfactual
530,city,What major river is nearest to {city}?,La Paz,What major river is nearest to La Paz?,The nearest major river to La Paz is,La Paz river is nearest to La Paz,1.3828125,584940185976832.0,Sarajevo river is nearest to Sarajevo,Sarajevo river is nearest to Sarajevo,1.0078125,2.353130805301084e+17,354042744143872.0,Counterfactual
531,city,What major river is nearest to {city}?,Lhasa,What major river is nearest to Lhasa?,The nearest major river to Lhasa is,The nearest major river to Lhasa is the Ganges,1.25,8.196551321814303e+17,The nearest major river to St,The nearest major river to Lhasa is The nearest major river to St,1.03125,7583301632.0,1.6501189034685497e+19,Other
532,city,What major river is nearest to {city}?,Lisbon,What major river is nearest to Lisbon?,The nearest major river to Lisbon is,The nearest major river to Lisbon is the Rio Grande,1.4609375,251255586816.0,The nearest major river to Montevideo is the Rio Grande,The nearest major river to Montevideo is the Rio Grande,1.015625,130292127891456.0,118648471552.0,Counterfactual
533,city,What major river is nearest to {city}?,London,What major river is nearest to London?,The nearest major river to London is,The nearest major river to London is the Thames,1.2265625,1166016512.0,Xi'an is the nearest major river to Xi'an,Xi'an is the nearest major river to Xi'an,1.015625,1.7383894561650115e+18,52736.0,Counterfactual
534,city,What major river is nearest to {city}?,Luang Prabang,What major river is nearest to Luang Prabang?,The nearest major river to Luang Prabang is,Luang Prabang river,1.5625,1493172224.0,The nearest major river to Paris is the river Île-de-France,The nearest major river to Paris is the river Île-de-France,1.015625,inf,2976.0,Counterfactual
535,city,What major river is nearest to {city}?,Marrakech,What major river is nearest to Marrakech?,The nearest major river to Marrakech is,Marrakech is the nearest major river to Marrakech,1.5546875,130292127891456.0,The nearest major river to New York is the Hudson River,The nearest major river to New York is the Hudson River,1.0078125,2.476979795053773e+16,3058016714752.0,Counterfactual
536,city,What major river is nearest to {city}?,Mexico City,What major river is nearest to Mexico City?,The nearest major river to Mexico City is,The nearest major river to Mexico City is the Rio Grande,1.2265625,1.4298928816901325e+17,The nearest major river to St,The nearest major river to Mexico City is The nearest major river to St,1.046875,682899800064.0,1.7383894561650115e+18,Other
537,city,What major river is nearest to {city}?,Montevideo,What major river is nearest to Montevideo?,The nearest major river to Montevideo is,The nearest major river to Montevideo is the Rio Grande,1.40625,3.320413933267719e+20,Zanzibar City,Zanzibar City,1.0078125,inf,inf,Counterfactual
538,city,What major river is nearest to {city}?,Moscow,What major river is nearest to Moscow?,The nearest major river to Moscow is,The nearest major river to Moscow is the River Ivanovo,2.25,905969664.0,Xi'an is the nearest major river to Xi'an,Xi'an is the nearest major river to Xi'an,1.0078125,167125767421952.0,52736.0,Counterfactual
539,city,What major river is nearest to {city}?,Mumbai,What major river is nearest to Mumbai?,The nearest major river to Mumbai is,The nearest major river to Mumbai is the River Ganges,1.765625,104689827840.0,The nearest major river to Kyoto is the Nishi River,The nearest major river to Kyoto is the Nishi River,1.015625,285615325184.0,92341796864.0,Counterfactual
540,city,What major river is nearest to {city}?,Muscat,What major river is nearest to Muscat?,The nearest major river to Muscat is,Muscat river is nearest to Muscat,1.53125,79164837199872.0,The nearest major river to Vienna is the River Tyrol,The nearest major river to Vienna is the River Tyrol,1.0234375,inf,682899800064.0,Counterfactual
541,city,What major river is nearest to {city}?,New York,What major river is nearest to New York?,The nearest major river to New York is,The nearest major river to New York is the Hudson River,1.3125,6.755399441055744e+16,Muscat river is nearest to Muscat,Muscat river is nearest to Muscat,1.015625,3.8730956795386266e+17,3.8730956795386266e+17,Counterfactual
542,city,What major river is nearest to {city}?,Nur-Sultan,What major river is nearest to Nur-Sultan?,The nearest major river to Nur-Sultan is,Nur-Sultan is the nearest major river to Nur-Sultan,1.2109375,3.8730956795386266e+17,Muscat river is nearest to Muscat,Muscat river is nearest to Muscat,1.0078125,7583301632.0,1.1146409077741978e+17,Counterfactual
543,city,What major river is nearest to {city}?,Paris,What major river is nearest to Paris?,The nearest major river to Paris is,The nearest major river to Paris is the river Île-de-France,1.734375,7107243161944064.0,Sarajevo river is nearest to Sarajevo,Sarajevo river is nearest to Sarajevo,1.0078125,30064771072.0,22677427322880.0,Counterfactual
544,city,What major river is nearest to {city}?,Petra,What major river is nearest to Petra?,The nearest major river to Petra is,Petra river,2.078125,2697239461888.0,The nearest major river to Singapore is the River Selangor,The nearest major river to Singapore is the River Selangor,1.0390625,inf,33957085184.0,Counterfactual
545,city,What major river is nearest to {city}?,Prague,What major river is nearest to Prague?,The nearest major river to Prague is,The nearest major river to Prague is the river Vltava,1.9375,1493172224.0,Windhoek is the nearest major river to Windhoek,Windhoek is the nearest major river to Windhoek,1.0078125,455197813899264.0,43776.0,Counterfactual
546,city,What major river is nearest to {city}?,Quebec City,What major river is nearest to Quebec City?,The nearest major river to Quebec City is,Quebec City is the nearest major river to Quebec City,1.8359375,2621235720617984.0,Cusco river is nearest to Cusco,Cusco river is nearest to Cusco,1.0078125,37383395344384.0,8315056685056.0,Counterfactual
547,city,What major river is nearest to {city}?,Reykjavik,What major river is nearest to Reykjavik?,The nearest major river to Reykjavik is,The nearest major river to Reykjavik is the jtn,2.25,7831552.0,The nearest major river to Paris is the river Île-de-France,The nearest major river to Paris is the river Île-de-France,1.015625,827392.0,2720.0,Counterfactual
548,city,What major river is nearest to {city}?,Rome,What major river is nearest to Rome?,The nearest major river to Rome is,The nearest major river to Rome is the river Tiber,1.75,1694498816.0,The nearest major river to So Paulo is the Rio Grande,The nearest major river to So Paulo is the Rio Grande,1.03125,22677427322880.0,9730785280.0,Counterfactual
549,city,What major river is nearest to {city}?,São Paulo,What major river is nearest to São Paulo?,The nearest major river to São Paulo is,The nearest major river to So Paulo is the Rio Grande,1.2265625,2104533975040.0,The nearest major river to Delhi is the Ganges,The nearest major river to Delhi is the Ganges,1.015625,152471339008.0,1855425871872.0,Counterfactual
